"","REVENUE","MOU","RECCHRGE","DIRECTAS","OVERAGE","ROAM","CHANGEM","CHANGER","DROPVCE","BLCKVCE","UNANSVCE","CUSTCARE","THREEWAY","MOUREC","OUTCALLS","INCALLS","PEAKVCE","OPEAKVCE","DROPBLK","CALLFWDV","CALLWAIT","CHURN","MONTHS","UNIQSUBS","ACTVSUBS","PHONES","MODELS","EQPDAYS","AGE1","AGE2","CHILDREN","CREDITA","CREDITAA","CREDITB","CREDITC","CREDITDE","CREDITGY","CREDITZ","PRIZMRUR","PRIZMUB","PRIZMTWN","REFURB","WEBCAP","TRUCK","RV","OCCPROF","OCCCLER","OCCCRFT","OCCSTUD","OCCHMKR","OCCRET","OCCSELF","OWNRENT","MARRYUN","MARRYYES","MARRYNO","MAILORD","MAILRES","MAILFLAG","TRAVEL","PCOWN","CREDITCD","RETCALLS","RETACCPT","NEWCELLY","NEWCELLN","REFER","INCMISS","INCOME","MCYCLE","CREDITAD","SETPRCM","SETPRC","RETCALL","CALIBRAT","CHURNDEP"
"REVENUE",1,0.718193410083347,0.69472700146646,0.450584857838808,0.73850354917517,0.248379730366481,-0.015674773141748,-0.0733415155565107,0.504212399276061,0.312790324059603,0.511785913324014,0.271614512583047,0.25154389901731,0.628673399879539,0.540513873541739,0.414346239591731,0.676057650970686,0.51553946781387,0.512259976201533,0.011897985458654,0.525621366428149,-0.0160988087795646,-0.0135187157139213,-0.0357297508067496,-0.0639569964082454,0.265833880469527,0.254082792093631,-0.256547238127435,-0.128910914174404,-0.121558605149314,-0.0554169813490597,-0.0768781088197478,-0.125693655153107,0.0384662723110565,0.0660180711032568,0.130552058620332,0.025935073466106,0.0373545095002845,-0.012660041095409,-0.029344694390167,-0.036533368877,0.0575826130732146,0.11965911761527,-0.0484839134168936,-0.018177382549743,-0.0816210552686941,-0.0183384566865613,-0.0161710977966754,-0.00582347622754839,-0.00987364091491157,-0.0497842765481739,-0.01082956802649,0.107032719898651,0.0941382203715594,-0.116196752797833,0.0234460159480011,-0.114061116785294,-0.116073884486849,-0.030038406409911,-0.0505729903894384,-0.0936786950922066,-0.103556701354187,0.0142087362749987,0.0199847657302937,0.0175228772317506,0.046009096652016,0.0181523433108756,0.0953823492800509,-0.100953219733641,-0.0104427635546261,0.041583115388605,-0.233797892866668,0.240609678739444,0.0132117243909566,-0.00656207177136861,NA
"MOU",0.718193410083347,1,0.568643546942805,0.4061116146595,0.564074409570682,0.145571028038408,-0.0210001810529973,-0.0611226700998438,0.648485893023796,0.414749027394657,0.693874067873251,0.478253677090524,0.341528970029655,0.834729274798873,0.715260631422809,0.591388840039086,0.773907693818251,0.796430634548064,0.667458881475291,0.0154554520711868,0.691485937718293,-0.0531262087810072,-0.0935809501385431,-0.0512610320477074,-0.0899147468166718,0.291942422413982,0.280120449504338,-0.336365873539714,-0.175710785561383,-0.153741478923791,-0.0642440045530207,-0.118122680613568,-0.133695317615094,0.0423166746807099,0.0788961397930513,0.153528008986052,0.0157222742835595,0.0762115917778983,-0.034548006390217,-0.0378761827002501,-0.0529822717537471,0.0759529600337337,0.156362313165061,-0.0620575198865192,-0.0341383381780317,-0.105060116712019,-0.0188179517220504,-0.0212094874478249,0.00150334924893294,-0.0107552333167137,-0.0535904629781396,-0.0158473920200317,0.150539046424361,0.129464540562776,-0.160992863691396,0.0335704029016874,-0.145707242660288,-0.147590101759448,-0.0395492469823157,-0.057593881372813,-0.117576989778198,-0.139529301693822,0.0116010811112232,0.0152057407018417,0.0195574104786751,0.042001049401732,0.0640698545877286,0.134267061659356,-0.15789417055931,-0.0152673743205758,0.0446877990515778,-0.249470485894433,0.278304651531011,0.0088338747859787,-0.0273506153064549,NA
"RECCHRGE",0.69472700146646,0.568643546942805,1,0.313666993629443,0.192202993709736,0.132100741669739,-0.00101085187878024,-0.0235011252567041,0.387120591161637,0.247386190483197,0.393498714348802,0.225423948384607,0.188234711378541,0.477357404806368,0.41600787131836,0.326072631166403,0.525559419628728,0.398917233329356,0.39598308494959,0.0115987095780631,0.393389859903205,-0.0623973943813626,-0.0775358664563573,-0.0663768425202848,-0.0959653638642834,0.212585730768292,0.20301053426231,-0.264041458442638,-0.116584521894708,-0.109144477865395,-0.0570046700731396,-0.104632904399869,-0.0696909843224602,0.0188833853716046,0.0590548140962308,0.119851028933051,0.00872642930410311,0.0315678955930317,-0.00839290445670881,-0.0268467565091696,-0.0215106755157252,0.02939746653222,0.147434593272146,-0.0417266213959551,-0.0207450539951262,-0.0669665447146072,-0.0187262039645397,-0.0128320353572405,-0.00507900703919016,-0.0107370325540412,-0.0388261876363418,-0.00510035355273672,0.0985081648002077,0.0844775184883409,-0.106163897738232,0.0231439852712262,-0.0987203864637788,-0.0992939828406765,-0.0238394928308741,-0.0409674410039029,-0.0772481740653095,-0.100020622577266,-0.0198678730482457,-0.0011608430815218,0.00705400256174572,0.0418303750647723,0.0402337159319947,0.0918179379438387,-0.0929127126927668,-0.00884941252739239,0.0428904041253085,-0.177829258970312,0.200788584131623,-0.0213724885912824,-0.0306395752057711,NA
"DIRECTAS",0.450584857838808,0.4061116146595,0.313666993629443,1,0.316674439374173,0.15174424895829,-0.0185589890300251,-0.0384455198658805,0.304631166881541,0.19151557083594,0.329387883198166,0.148573355466658,0.167770505611492,0.31151373987907,0.352642494573099,0.219440781556925,0.441788273561571,0.302650263683558,0.308417529398896,0.00494086945473742,0.322570531794335,-0.0206829330889813,0.00533577583358964,-0.00577709075028699,-0.0229202284786861,0.17345515259586,0.166597242080982,-0.149819643382119,-0.0785450893091263,-0.0781874890392694,-0.0306311093791076,-0.0303955531616493,-0.0899194093462465,0.0215582693526748,0.0403141516924927,0.109965397266039,0.0169355332008443,-0.0243490554956457,-0.0209703403897929,0.00282400647213579,-0.0244179789338849,0.041950194697513,0.0649067215193925,-0.0482743790632964,-0.0134612904321591,-0.0442482285549477,-0.0122990551323293,-0.0250650904206969,-0.00364344396626454,-0.0042319311504065,-0.0403413587349642,-0.00212110894951907,0.0533638280926875,0.0514959061238548,-0.0582448286463091,0.00691049058798392,-0.0596644786434667,-0.0610403116876642,-0.0113122488047099,-0.026917656067786,-0.0573459209790268,-0.0515596214574997,0.0111203835711959,0.0147335396491609,0.0043396244472167,0.0318085389220581,-0.000747366048343278,0.0552600820039847,-0.022370218209941,-0.0114147585940153,0.028056110544941,-0.151866371624101,0.151226743628798,0.0106028057737518,-0.00947268884487935,NA
"OVERAGE",0.73850354917517,0.564074409570682,0.192202993709736,0.316674439374173,1,0.119908811317881,-0.0115721299964388,-0.0687212571218324,0.39114513994756,0.249714877394037,0.410237518740508,0.215200124876791,0.21138923256901,0.512622166085031,0.430889126112526,0.332664786509445,0.516724392448997,0.424756238804143,0.402162197126474,0.003424821947455,0.430904336621543,0.0253740980923236,-0.0236809738381517,-0.0211009034278654,-0.0356630522537965,0.151156830012896,0.147631072823157,-0.157071362468995,-0.0889900903222653,-0.0835493931613761,-0.0309541884727165,-0.0526358154228504,-0.0909494824793763,0.0349528325511178,0.0466914106612766,0.0824491268894337,0.0180930142784819,0.0305112456236225,-0.0154083890736489,-0.0172190112708876,-0.029207241083079,0.0397875484811445,0.0612597104006497,-0.0376899109435224,-0.0149148070144786,-0.062935335772586,-0.00749025726278057,-0.0118996634250972,-0.000330243997888056,-0.00551641380408221,-0.0354292269317355,-0.0159571359532982,0.0736080090499116,0.0637209785491966,-0.078709785393548,0.0159344553079894,-0.0799782016596566,-0.0821512006553081,-0.0222498040910648,-0.0367685827046804,-0.0686551234447161,-0.0683314304384254,0.0192384930040355,0.0145686082912352,0.00853494636301834,0.0194839894628935,0.00690904627521716,0.0627868602712545,-0.0729808659613837,-0.00794302065035528,0.0146808518651489,-0.137356422837513,0.142385788774017,0.018268700895672,0.01279727248656,NA
"ROAM",0.248379730366481,0.145571028038408,0.132100741669739,0.15174424895829,0.119908811317881,1,-0.0239688287723659,-0.0283899591724655,0.127462622665759,0.07475074849028,0.09558173397986,0.0175477163803313,0.0443770953758891,0.10053980040517,0.0917887010037424,0.0343529651217227,0.13092265764537,0.0696929322246935,0.123467389828836,0.00877529647580802,0.0787343280917966,0.0135012562907518,-0.0251626061369868,-0.0147021588243355,-0.014772024992748,0.0376114481814244,0.0343449874715785,-0.0637456150632354,-0.0206333498455165,-0.0155949678828319,0.00679527520741154,-0.00986701952729032,-0.0150502156947773,0.00588929747143049,0.00896058286616856,0.019952166920585,-0.00250569752386326,-0.00136406711143545,0.0632346872582437,-0.0285715819548683,0.0402652649955649,0.000819216892530567,0.0434982575691345,0.0120675564351199,0.0113450933488764,-0.00866013859237929,-0.0087483811903282,-0.00320822214979468,-0.00443320562611423,0.00219611433118627,-0.0109303396537942,-0.000702675531583071,0.0203551702023384,0.0144649235774123,-0.00011197956362813,-0.0161330482398839,-0.00373683902247338,-0.00606539640165461,-0.00532378564171995,-0.0090928252104401,-0.00938703315070809,-0.0260888285555057,-0.00447327838318659,0.00169357930828705,8.7429293428959e-05,-0.00179308931907248,-0.0161099475421937,0.0202155616421981,-0.0105208190602083,0.012857808739604,0.00059366612648622,-0.0329354237337812,0.0456668096062488,-0.00537990064585674,0.00305180520111093,NA
"CHANGEM",-0.015674773141748,-0.0210001810529973,-0.00101085187878024,-0.0185589890300251,-0.0115721299964388,-0.0239688287723659,1,0.584475416299226,-0.0703745285521702,-0.0403726169271122,-0.0542998782023279,-0.0375270339471764,-0.0238194825801291,-0.0734401852478122,-0.0497398550937819,-0.0353816109922924,-0.0706909035941062,-0.0477270031590171,-0.0683559988108878,-0.00319061160551981,-0.0662167750759319,-0.0452650895095813,0.00823767292262554,0.00486722994546514,0.00560696365558283,0.00914218928548183,0.0116651643916666,-0.0153647687341324,0.0170642645930101,0.00973292068797434,0.0021376474170981,0.00607977328003787,0.0144362987582323,0.00874670155399171,-0.00336212810338371,-0.0245844013662448,-0.000452237351886266,-0.0158954880839003,-0.00359082079379381,0.00214307893850717,-0.00040065436652608,5.98427882369718e-05,0.000262372378013599,0.0073566512019888,0.00683720775645165,0.0122518804020421,0.00169644735096506,-0.00112840120980921,0.00289001712129755,0.00138483800991604,0.0109449361939354,-0.00754190019582488,-0.0147969015403876,-0.0126834515573825,0.00692211462022433,0.00655556043440321,0.0106597861252752,0.0106839423771033,-0.000898169205808373,0.00303719820576762,0.0109399810009876,0.0174838205117848,-0.0219440495921352,-0.0074939361426696,0.00214272345939803,-0.00103612471246168,-0.00062578861751051,-0.0176600890372541,0.0127290106390081,0.000384459400437615,-0.00575116967256538,-0.0133007761346122,0.00961396602971163,-0.0236012915085023,-0.0226006044565469,NA
"CHANGER",-0.0733415155565107,-0.0611226700998438,-0.0235011252567041,-0.0384455198658805,-0.0687212571218324,-0.0283899591724655,0.584475416299226,1,-0.0743180712241548,-0.0482475825293749,-0.072810956959362,-0.069404787391291,-0.0359475234212304,-0.0901743928528715,-0.0643732688335453,-0.0489173852918265,-0.0919138283277883,-0.0633094982761847,-0.0759463391293276,-0.00187054979144012,-0.0800034899015818,-0.00438756512516281,-0.00115210145362976,0.0112851679311358,0.0136028288254801,-0.0284460896975108,-0.0236111722215721,0.021671063958122,0.0198907213622736,0.013572677903964,0.0077918678456043,0.0106270760070868,0.0196767686737969,0.0062098824983252,-0.0105858864550205,-0.0283189464209324,-0.00100439808951996,-0.014632652234809,0.000915005207052661,0.00688084341797787,0.00320805708716175,-0.00396726767221107,-0.00561213930469164,0.012518426068305,0.0081626211153806,0.019425374906627,-0.00283210977909212,0.000804467393587919,-0.000422935061536516,0.00415309010467345,0.00797772402008302,-1.2333906522796e-05,-0.0167719743018228,-0.0129146866197561,0.0114497346197161,0.00177916941736502,0.0140009128504112,0.013591996210327,0.00188771373566082,0.00772250194871844,0.0138926239086039,0.0186478196021289,-0.0347958910534737,-0.0163602072695977,0.000441971604692951,-0.00241532014689436,-0.00145798481255051,-0.0159911769406821,0.0164603720944508,0.00379868908917776,-0.00706834145985892,0.0248362192250394,-0.0287264998967726,-0.03741852356728,0.00521113231964382,NA
"DROPVCE",0.504212399276061,0.648485893023796,0.387120591161637,0.304631166881541,0.39114513994756,0.127462622665759,-0.0703745285521702,-0.0743180712241548,1,0.276343631574217,0.627934147662523,0.38784863915113,0.356950793943466,0.609763291919025,0.63390748354861,0.470874428288319,0.662852669224006,0.67368725549397,0.819073069492516,0.003904591644647,0.504836663498241,-0.0157912190116785,-0.0554677300816847,-0.0423606260777017,-0.0735737649234225,0.24643088568017,0.237681220705765,-0.254825455251186,-0.13837693034831,-0.125840778398028,-0.0463457843267827,-0.0913520781869012,-0.137366140157253,0.0287416208450621,0.0686869571523441,0.142067238244567,0.0164086676687884,0.0945941483955787,-0.0337874362399765,-0.0394248113323375,-0.0685368309313384,0.0692774161420408,0.110895075292665,-0.0857153516547927,-0.050457603076116,-0.0953951828095235,-0.0106438694593361,-0.0174998376249796,0.000466582941858214,-0.00764685388094245,-0.0493078448227401,-0.00929495316711785,0.114892701063298,0.103366685538159,-0.135174871305145,0.0341840873445998,-0.119550921651697,-0.120533549601414,-0.0294823833486445,-0.0386120574042637,-0.098631663855841,-0.0995403437007131,0.0271833470344603,0.0217345316339982,0.0177598586394343,0.0149739675667972,0.030660713791974,0.0961340529766428,-0.109489912654269,-0.0165573623395145,0.03565696679973,-0.213717667046552,0.229524035406768,0.0269453228515287,-0.00945944861362759,NA
"BLCKVCE",0.312790324059603,0.414749027394657,0.247386190483197,0.19151557083594,0.249714877394037,0.07475074849028,-0.0403726169271122,-0.0482475825293749,0.276343631574217,1,0.410427944703991,0.280768041153796,0.289661853156835,0.372693360384733,0.349809225073309,0.30272863544887,0.42315175464424,0.424669832572049,0.737502004110141,0.0227784969256741,0.424198822269746,-0.0143701042454705,-0.0879663352057602,-0.0182564900498778,-0.0312545377212148,0.142846021077185,0.132059259481247,-0.186270747581119,-0.0587587625983379,-0.0333737301247942,0.00615951391193447,-0.0743178239434351,-0.0721540574681816,0.0220620616560754,0.0562406110739863,0.0910929004391281,0.00972803208416915,0.0266531153911612,0.0478824406360025,-0.0245881420897333,0.0358254706683613,0.0650550590498538,0.0577183141661506,0.010932485000509,-0.00163763129050471,-0.0472202622342275,-0.0087265044890512,0.0117072346015017,0.000495780468441884,-0.000111593704366545,-0.0214605416302913,-0.0115535977400238,0.0541599587824195,0.0492030649008494,-0.0398608456684861,-0.010961874288315,-0.0536944835895324,-0.057376507437801,-0.0211056471578263,-0.0375633060927324,-0.0460973335135195,-0.0674121342336972,0.0166398399169794,0.0179773422174925,-0.00126365450194286,0.025590679932247,0.0347804675322754,0.0572317286938213,-0.0885456001226322,0.00487988917938391,0.0133121617245902,-0.12535362563517,0.127575375341025,0.0150538755029629,-0.00669211787427168,NA
