"","Var_Type","n","nmiss","mean","std","var","min","p1.1%","p5.5%","p10.10%","q1.25%","q2.50%","q3.75%","p90.90%","p95.95%","p99.99%","max","ot_m1","ot_m2.99%","ot_m2.75%","IQR","UC1","LC1"
"REVENUE","numeric","71047","216","58.8539614010814","44.2436131451656","1957.49730413907","-6.17","10","15.515","26.16","33.64","48.53","71.03","103.95","135.39","225.512","1223.38","TRUE","TRUE","TRUE","37.39","191.584800836578","-73.8768780344154"
"MOU","numeric","71047","216","525.728392370572","530.134259278142","281042.332860385","0","0","20.415","52.75","158.25","366","721.75","1202","1580.25","2450.125","7667.75","TRUE","TRUE","TRUE","563.5","2116.131170205","-1064.67438546385"
"RECCHRGE","numeric","71047","216","46.8764916491367","23.9151030121573","571.932152082095","-11.29","9.19","10","19.99","30","44.99","59.99","75","85","119.99","399.99","TRUE","TRUE","TRUE","29.99","118.621800685609","-24.8688173873352"
"DIRECTAS","numeric","71047","216","0.894801146390705","2.19781477849404","4.83038980056681","0","0","0","0","0","0.25","0.99","2.48","4.21","9.65","159.39","TRUE","TRUE","TRUE","0.99","7.48824548187283","-5.69864318909142"
"OVERAGE","numeric","71047","216","40.0953598000875","96.3471032399843","9282.7643027362","0","0","0","0","0","2.5","40.75","115.75","190.375","427.674999999999","4320.75","TRUE","TRUE","TRUE","40.75","329.136669520041","-248.945949919866"
"ROAM","numeric","71047","216","1.22152616792083","9.08119616311349","82.4681237529472","0","0","0","0","0","0","0.26","2.13","5.09","21.557","1112.45","TRUE","TRUE","TRUE","0.26","28.4651146572613","-26.0220623214197"
"CHANGEM","numeric","71047","502","-10.8464614076122","255.314315474294","65185.3996861074","-3875","-831.89","-376.25","-229.25","-83","-5","65.75","208.5","345.25","739.669999999998","5192.25","TRUE","TRUE","TRUE","148.75","755.09648501527","-776.789407830495"
"CHANGER","numeric","71047","502","-1.20592557941739","38.7706953620773","1503.166818859","-1107.74","-104.536","-47.5","-27.776","-7.11","-0.29","1.6","21.81","46.218","118.345599999999","2483.48","TRUE","TRUE","TRUE","8.71","115.106160506814","-117.518011665649"
"DROPVCE","numeric","71047","0","6.00992751277323","9.00617450832301","81.1111792743672","0","0","0","0","0.67","3","7.67","15","22","42","221.67","TRUE","TRUE","TRUE","7","33.0284510377423","-21.0085960121958"
"BLCKVCE","numeric","71047","0","4.06769560994834","10.6708225174203","113.866453198284","0","0","0","0","0","1","3.67","10","17.33","47","384.33","TRUE","TRUE","TRUE","3.67","36.0801631622092","-27.9447719423125"
"UNANSVCE","numeric","71047","0","28.3558925781525","38.90423437361","1513.53945219678","0","0","0","0.33","5.33","16.33","36.67","68.33","97.67","179.33","848.67","TRUE","TRUE","TRUE","31.34","145.068595698982","-88.3568105426774"
"CUSTCARE","numeric","71047","0","1.86581361633848","5.16079902182819","26.6338465437028","0","0","0","0","0","0","1.67","5.33","9.33","21","365.67","TRUE","TRUE","TRUE","1.67","17.348210681823","-13.6165834491461"
